FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
191,-119.6316936,40.30162355,Emerson Pass,NV,Silica vein,Qssi,Faulds_2020,Possible paleo-travertine-sinter terrace with N20-58E calcite-qtz veins
192,-119.6316936,40.30162355,Emerson Pass,NV,Travertine,Qt,Faulds_2020,Possible paleo-travertine-sinter terrace with N20-58E calcite-qtz veins
193,-119.6401675,40.30602916,Emerson Pass,NV,Tufa,Qtm,Anderson and Faulds_2013_GRC, 
194,-119.6402117,40.30375532,Emerson Pass,NV,Tufa,Qtm,Anderson and Faulds_2013_GRC, 
195,-119.638773,40.30647676,Emerson Pass,NV,Tufa,Qtm,Anderson and Faulds_2013_GRC, 
196,-119.6314106,40.301794,Emerson Pass,NV,Tufa,Qtm,Anderson and Faulds_2013_GRC, 
197,-117.9078478,37.88579747,"Emigrant, Green Monster fumarole",NV,Alteration, ,"Coolbaugh, 2022-Mar-26, from Hulen et al., 2005, GRC Bulletin", 
198,-117.9079311,37.885825,"Emigrant, Green Monster fumarole",NV,Sulfur, ,"Coolbaugh, 2022-Mar-26, from Hulen et al., 2005, GRC Bulletin", 
199,-119.399613,38.353362,Fales Hot Spring,CA,Tufa,Qtm,"Waring,1965; Brues, 1928; Waring,1915","Location not field validated. Several springs, sec 24 T 6N R 23E 13 miles NW of Bridgeport, resort, no. on figure 114"
200,-119.3994018,38.35363832,Fales Hot Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Waring,1915","Mono, Sec. 19, T. 6 N., R. 24 E., Inactive, Present springs are about 40 m lower than three travertine basins rimmed by deposits 15-45 m thick; largest is 30 m across"
201,-113.0877584,42.61432348,Fall Creek Warm Springs,ID,Travertine,Lake beds (Eocene) fault contact with limestone (Carboniferous),"Stearns, 1937
Waring, 1965
Feth and Barnes, 1979","Digitized spring? vicinity. Uncertain if tufa is present. Apparent vegetation in 7/2019 Google Earth imagery and USGS 1984 7.5 minute Badger Peak Quadrangle topographic map support spring location. 
Reported discharge (Stearns 1937) of 9,000 gpm seems ve"
202,-111.317692,40.08293131,Fifth Water Hot Springs,UT,Travertine,Qst,"Blackett, R.E., and Wakefield, S., 2004, Geothermal resources of Utah – 2004 – a digital atlas of Utah’s geothermal resources:  Utah Geological Survey Open-File Report 431, CD.",Travertine cemented stream alluvium at active hot springs
203,-117.9838922,37.85891994,Fish Lake Hot Springs,CA,Sinter,Qssi,Faulds_2020,Silica cemented sands and opaline sinter
204,-117.9580509,37.9149219,Fish Lake Valley,NV,Silica-cemented mud or ash, ,"Coolbaugh, 2022-Mar-26, from Littlefield, 2010 (UNR M.Sc. thesis)", 
205,-117.9649195,37.92575251,Fish Lake Valley,NV,Silica-cemented mud or ash, ,"Coolbaugh, 2022-Mar-26, from Littlefield, 2010 (UNR M.Sc. thesis)", 
206,-118.0486954,37.86114927,Fish Lake Valley,NV,Silicified fault breccia, ,"Coolbaugh, 2022-Mar-26","Advanced argillic alteration, cinnabar, native sulfur"
207,-118.0486715,37.86111731,Fish Lake Valley,NV,Sulfur, ,"Coolbaugh, 2022-Mar-26","Advanced argillic alteration, cinnabar, native sulfur"
208,-119.3994018,38.35363832,Foles Hot Spring,CA,Travertine,Qt,Faulds_2020,Large travertine mound with 40 m wide crater
209,-114.0378622,39.45848738,Gandy Warm Springs,UT,Travertine,Qst,"Feth, J.H., and Barnes, I., 1979, Spring-deposited travertine in eleven western states: U.S. Geological Survey Water-Resources Investigations Open-File Report 79-35.", 
210,-111.7517328,42.69338324,Gem Valley Spring #2,ID,Tufa,Basalt (Pleistocene and Pliocene),"Ralston and Mayo, 1983",Digitized area around published coordinates (tufa?).
211,-111.7991823,42.50227114,Gentile Valley Spring #1,ID,Travertine,Lake Bonneville deposits (Pleistocene),"Ralston and Mayo, 1983",IGS mapped spring location. Digitized opposite hillside based on report description and aerial photography. Unable to verify travertine in aerial imagery and on geologic map.
212,-119.3667073,40.66276111,Gerlach,NV,Alteration, ,"Coolbaugh, 2022-Mar-26",Mudpots with argillic alteration
213,-117.0869722,41.28175384,Getchell mine,NV,Sinter,Qssi,Rhodes_2021,Indicated on geological map; need field confirmation
214,-117.4908489,40.95420151,Golconda Hot Springs,NV,Travertine,Qt,Mariner et al_1974 White_1955, 
215,-117.4256011,40.94569463,Golconda mine,NV,Sinter,Qssi,Rhodes_2021,Mapped sinter and maganese deposit
